home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgma,H_fgpct,H_3gma,H_3pct,H_ftma,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgma,A_fgpct,A_3gma,A_3pct,A_ftma,A_ftpct,A_eff
Brooklyn,Golden State,12/06/2015,L,48,98,46,21,8,2,13,18,35,11,39-89,.438,5-17,.294,15-23,.652,104,114,46,25,9,9,12,18,36,10,44-86,.512,14-33,.424,12-23,.522,138
Brooklyn,Phoenix,12/01/2015,W,48,94,42,23,10,4,15,19,36,6,41-84,.488,4-13,.308,8-12,.667,111,91,39,20,9,3,16,13,35,4,33-75,.440,10-28,.357,15-22,.682,97
Brooklyn,Detroit,11/29/2015,W,48,87,51,15,8,11,19,16,44,7,35-81,.432,4-12,.333,13-16,.812,104,83,51,19,11,1,14,15,32,19,34-101,.337,6-24,.250,9-21,.429,72
Brooklyn,Boston,11/22/2015,W,48,111,49,18,11,4,14,20,35,14,40-79,.506,5-15,.333,26-33,.788,133,101,35,19,9,2,17,28,25,10,35-82,.427,14-37,.378,17-21,.810,98
Brooklyn,Atlanta,11/17/2015,W,48,90,44,22,14,3,11,14,35,9,37-84,.440,9-20,.450,7-13,.538,109,88,44,22,7,7,20,17,36,8,33-76,.434,12-29,.414,10-14,.714,101
Brooklyn,L.A.Lakers,11/06/2015,L,48,98,46,21,6,6,15,29,32,14,40-93,.430,3-19,.158,15-20,.750,104,104,40,14,9,6,15,22,35,5,33-78,.423,7-23,.304,31-40,.775,104
Brooklyn,Milwaukee,11/02/2015,L,48,96,35,21,3,4,18,23,25,10,36-79,.456,6-19,.316,18-22,.818,94,103,36,24,6,7,14,23,28,8,38-73,.521,9-23,.391,18-26,.692,119
Brooklyn,Chicago,10/28/2015,L,48,100,45,19,11,5,13,18,29,16,39-93,.419,0-9,.000,22-28,.786,107,115,39,20,9,3,19,24,34,5,42-78,.538,14-28,.500,17-20,.850,128
Boston,Atlanta,04/28/2016,L,48,92,43,16,5,4,12,29,33,10,34-94,.362,7-32,.219,17-18,.944,87,104,42,26,6,12,18,23,39,3,38-74,.514,8-24,.333,20-27,.741,129
Boston,Atlanta,04/24/2016,W,53,104,52,25,7,7,14,19,40,12,40-94,.426,11-33,.333,13-19,.684,121,95,49,18,8,6,14,20,37,12,37-100,.370,12-43,.279,9-13,.692,95
Boston,Atlanta,04/22/2016,W,48,111,44,23,10,6,15,20,37,7,38-82,.463,11-32,.344,24-33,.727,126,103,41,19,10,7,13,24,34,7,38-86,.442,9-36,.250,18-21,.857,116
Boston,Miami,04/13/2016,W,48,98,39,20,7,3,7,20,29,10,37-86,.430,5-14,.357,19-22,.864,108,88,44,14,5,10,8,21,30,14,38-88,.432,2-19,.105,10-12,.833,101
Boston,Charlotte,04/11/2016,L,48,100,46,17,6,1,12,17,33,13,34-89,.382,8-24,.333,24-29,.828,98,114,44,23,10,7,14,20,37,7,41-81,.506,14-32,.438,18-22,.818,140
Boston,Milwaukee,04/08/2016,W,48,124,34,35,6,9,14,23,30,4,44-78,.564,6-14,.429,30-38,.789,152,109,38,30,10,5,19,27,31,7,41-84,.488,7-17,.412,20-29,.690,121
