home_team,away_team,date,result,min,H_pts,H_reb,H_ast,H_stl,H_blk,H_to,H_pf,H_dreb,H_oreb,H_fgpct,H_3pct,H_ftpct,H_eff,A_pts,A_reb,A_ast,A_stl,A_blk,A_to,A_pf,A_dreb,A_oreb,A_fgpct,A_3pct,A_ftpct,A_eff,home_team_idx,away_team_idx,H_FGM,H_FGA,A_FGM,A_FGA,H_3M,H_3A,A_3M,A_3A,H_FTM,H_FTA,A_FTM,A_FTA,reg_season,pre_allstar
Chicago,Washington,2016-11-12,W,48,106,52,21,7,6,10,20,37,15,0.402,0.33299999999999996,0.92,122,95,49,19,3,7,12,22,36,13,0.418,0.308,0.833,105,4,30,39,97,38,91,5,15,4,13,23,25,15,18,True,True
Chicago,Orlando,2016-11-07,W,48,112,56,26,7,4,8,11,41,15,0.47200000000000003,0.158,0.8059999999999999,144,80,39,28,6,7,14,23,33,6,0.38799999999999996,0.3,0.833,93,4,,42,89,33,85,3,19,9,30,25,31,5,6,True,True
Chicago,New York,2016-11-04,L,48,104,42,15,4,4,12,16,27,15,0.44,0.348,0.815,105,117,40,32,7,2,5,23,29,11,0.517,0.429,0.762,145,4,20,37,84,46,89,8,23,9,21,22,27,16,21,True,True
Chicago,Indiana,2016-10-29,W,48,118,47,34,8,6,12,14,34,13,0.523,0.429,0.905,158,101,33,34,8,7,13,16,25,8,0.489,0.389,0.889,124,4,11,45,86,43,88,9,21,7,18,19,21,8,9,True,True
Chicago,Boston,2016-10-27,W,48,105,55,25,5,1,12,21,37,18,0.391,0.44,0.733,115,99,36,22,6,6,11,25,33,3,0.5,0.348,0.625,111,4,2,36,92,38,76,11,25,8,23,22,30,15,24,True,True
Cleveland,Golden State,2017-06-09,W,48,137,41,27,6,3,11,24,30,11,0.529,0.5329999999999999,0.677,152,116,40,26,5,6,12,27,24,16,0.44799999999999995,0.282,0.75,124,5,9,46,87,39,87,24,45,11,39,21,31,27,36,False,False
Cleveland,Golden State,2017-06-07,L,48,113,37,17,9,3,12,25,27,10,0.444,0.273,0.84,113,118,44,29,8,4,18,28,36,8,0.48200000000000004,0.485,0.917,140,5,9,40,90,40,83,12,44,16,33,21,25,22,24,False,False
Cleveland,Boston,2017-05-23,W,48,112,37,23,5,4,14,16,33,4,0.595,0.455,0.8240000000000001,134,99,29,26,7,2,12,15,22,7,0.44299999999999995,0.32299999999999995,0.95,106,5,2,44,74,35,79,10,22,10,31,14,17,19,20,False,False
Cleveland,Boston,2017-05-21,L,48,108,46,21,5,5,15,11,35,11,0.457,0.41,0.778,124,111,38,28,10,3,9,23,27,11,0.462,0.45,0.75,129,5,2,32,70,42,91,16,39,18,40,28,36,9,12,False,False
Cleveland,Toronto,2017-05-03,W,48,125,40,28,9,4,16,22,34,6,0.547,0.545,0.735,147,103,37,21,8,4,13,21,29,8,0.467,0.294,0.737,107,5,28,41,75,42,90,18,33,5,17,25,34,14,19,False,False
Cleveland,Toronto,2017-05-01,W,48,116,46,26,8,4,12,18,39,7,0.45899999999999996,0.41200000000000003,0.828,137,105,43,22,5,5,12,22,35,8,0.43799999999999994,0.385,0.85,115,5,28,39,85,39,89,14,34,10,26,24,29,17,20,False,False
Cleveland,Indiana,2017-04-17,W,48,117,37,19,6,8,18,16,30,7,0.5529999999999999,0.419,0.87,132,111,33,23,14,3,13,21,24,9,0.512,0.4,0.7390000000000001,124,5,11,42,76,43,84,13,31,8,20,20,23,17,23,False,False
